filename,action
0.jpg,stay_in_lane
1.jpg,stay_in_lane
2.jpg,stay_in_lane
3.jpg,stay_in_lane
4.jpg,stay_in_lane
5.jpg,stay_in_lane
6.jpg,stay_in_lane
7.jpg,stay_in_lane
8.jpg,stay_in_lane
9.jpg,stay_in_lane
10.jpg,stay_in_lane
11.jpg,stay_in_lane
12.jpg,stay_in_lane
13.jpg,stay_in_lane
14.jpg,stay_in_lane
15.jpg,stay_in_lane
16.jpg,stay_in_lane
17.jpg,stay_in_lane
18.jpg,stay_in_lane
19.jpg,stay_in_lane
20.jpg,stay_in_lane
21.jpg,stay_in_lane
22.jpg,stay_in_lane
23.jpg,stay_in_lane
24.jpg,stay_in_lane
25.jpg,stay_in_lane
26.jpg,stay_in_lane
27.jpg,stay_in_lane
28.jpg,stay_in_lane
29.jpg,stay_in_lane
30.jpg,stay_in_lane
31.jpg,stay_in_lane
32.jpg,stay_in_lane
33.jpg,stay_in_lane
34.jpg,stay_in_lane
35.jpg,stay_in_lane
36.jpg,stay_in_lane
37.jpg,stay_in_lane
38.jpg,stay_in_lane
39.jpg,stay_in_lane
40.jpg,stay_in_lane
41.jpg,stay_in_lane
42.jpg,stay_in_lane
43.jpg,stay_in_lane
44.jpg,stay_in_lane
45.jpg,stay_in_lane
46.jpg,stay_in_lane
47.jpg,stay_in_lane
48.jpg,stay_in_lane
49.jpg,stay_in_lane
50.jpg,stay_in_lane
51.jpg,stay_in_lane
52.jpg,stay_in_lane
53.jpg,stay_in_lane
54.jpg,stay_in_lane
55.jpg,stay_in_lane
56.jpg,stay_in_lane
57.jpg,stay_in_lane
58.jpg,stay_in_lane
59.jpg,stay_in_lane
60.jpg,stay_in_lane
61.jpg,stay_in_lane
62.jpg,stay_in_lane
63.jpg,stay_in_lane
64.jpg,stay_in_lane
65.jpg,stay_in_lane
66.jpg,stay_in_lane
67.jpg,stay_in_lane
68.jpg,stay_in_lane
69.jpg,stay_in_lane
70.jpg,stay_in_lane
71.jpg,stay_in_lane
72.jpg,stay_in_lane
73.jpg,stay_in_lane
74.jpg,stay_in_lane
75.jpg,stay_in_lane
76.jpg,stay_in_lane
77.jpg,stay_in_lane
78.jpg,stay_in_lane
79.jpg,stay_in_lane
80.jpg,stay_in_lane
81.jpg,stay_in_lane
82.jpg,stay_in_lane
83.jpg,stay_in_lane
84.jpg,stay_in_lane
85.jpg,stay_in_lane
86.jpg,stay_in_lane
87.jpg,stay_in_lane
88.jpg,stay_in_lane
89.jpg,stay_in_lane
90.jpg,stay_in_lane
91.jpg,stay_in_lane
92.jpg,stay_in_lane
93.jpg,stay_in_lane
94.jpg,stay_in_lane
95.jpg,stay_in_lane
96.jpg,stay_in_lane
97.jpg,stay_in_lane
98.jpg,stay_in_lane
99.jpg,stay_in_lane
100.jpg,stay_in_lane
101.jpg,stay_in_lane
102.jpg,stay_in_lane
103.jpg,stay_in_lane
104.jpg,stay_in_lane
105.jpg,stay_in_lane
106.jpg,stay_in_lane
107.jpg,stay_in_lane
108.jpg,stay_in_lane
109.jpg,stay_in_lane
110.jpg,stay_in_lane
111.jpg,stay_in_lane
112.jpg,stay_in_lane
113.jpg,stay_in_lane
114.jpg,stay_in_lane
115.jpg,stay_in_lane
116.jpg,stay_in_lane
117.jpg,stay_in_lane
118.jpg,stay_in_lane
119.jpg,stay_in_lane
120.jpg,stay_in_lane
