filename,angle
0.jpg,0.0
1.jpg,0.0
2.jpg,0.0
3.jpg,0.0
4.jpg,0.0
5.jpg,0.0
6.jpg,0.0
7.jpg,0.0
8.jpg,0.0
9.jpg,0.0
10.jpg,0.0
11.jpg,0.0
12.jpg,0.0
13.jpg,0.0
14.jpg,0.0
15.jpg,0.0
16.jpg,0.0
17.jpg,0.0
18.jpg,0.0
19.jpg,0.0
20.jpg,0.0
21.jpg,0.0
22.jpg,0.0
23.jpg,11.7
24.jpg,11.7
25.jpg,10.39
26.jpg,9.28
27.jpg,8.77
28.jpg,7.06
29.jpg,3.93
30.jpg,1.11
31.jpg,0.81
32.jpg,0.91
33.jpg,0.0
34.jpg,0.81
35.jpg,0.71
36.jpg,0.71
37.jpg,1.21
38.jpg,1.21
39.jpg,1.21
40.jpg,1.21
41.jpg,1.21
42.jpg,-0.1
43.jpg,0.0
44.jpg,0.0
45.jpg,-1.41
46.jpg,-2.22
47.jpg,-2.02
48.jpg,-1.41
49.jpg,-1.21
50.jpg,-0.91
51.jpg,-0.81
52.jpg,-0.81
53.jpg,-0.71
54.jpg,-0.4
55.jpg,-0.1
56.jpg,0.1
57.jpg,0.3
58.jpg,0.4
59.jpg,0.61
60.jpg,0.91
61.jpg,1.51
62.jpg,2.12
63.jpg,2.12
64.jpg,2.22
65.jpg,2.22
66.jpg,2.22
67.jpg,1.82
68.jpg,1.82
69.jpg,1.82
70.jpg,1.82
71.jpg,1.71
72.jpg,1.71
73.jpg,1.61
74.jpg,1.61
75.jpg,1.61
76.jpg,1.71
77.jpg,1.51
78.jpg,1.41
79.jpg,0.0
80.jpg,1.41
81.jpg,1.41
82.jpg,1.41
83.jpg,1.41
84.jpg,1.41
85.jpg,1.41
86.jpg,1.41
87.jpg,1.41
88.jpg,1.41
89.jpg,1.41
90.jpg,1.41
91.jpg,1.41
92.jpg,0.0
93.jpg,1.41
94.jpg,1.41
95.jpg,1.41
96.jpg,1.41
97.jpg,1.51
98.jpg,2.12
99.jpg,2.12
100.jpg,2.12
101.jpg,2.12
102.jpg,2.12
103.jpg,0.0
